,rank,time,0,1,2,3,4,5,total
564310525715021835,00:00:00,1,22,0,0,0,0,0,0
602203895464329216,00:00:00,2,21,0,0,0,0,0,0
242660319011405824,00:00:00,3,20,0,0,0,0,0,0
698008473480462337,00:00:00,4,19,0,0,0,0,0,0
439745038818213890,00:00:00,5,18,0,0,0,0,0,0
805053220325425172,00:00:00,6,17,0,0,0,0,0,0
535453638072729600,00:00:00,7,16,0,0,0,0,0,0
501260547518627850,00:00:00,8,15,0,0,0,0,0,0
713724689523933204,00:00:00,9,14,0,0,0,0,0,0
805354010252017695,00:00:00,10,13,0,0,0,0,0,0
698529378027569235,00:00:00,11,12,0,0,0,0,0,0
778290984270168085,00:00:00,12,11,0,0,0,0,0,0
805344121186418689,00:00:00,13,10,0,0,0,0,0,0
524208211365068833,00:00:00,14,9,0,0,0,0,0,0
762947104490258462,00:00:00,15,8,0,0,0,0,0,0
600670380230836235,00:00:00,16,7,0,0,0,0,0,0
366562125121847297,00:00:00,17,6,0,0,0,0,0,0
686197652328546428,00:00:00,18,5,0,0,0,0,0,0
351001323920949249,00:00:00,19,4,0,0,0,0,0,0
536764455573389313,00:00:00,20,3,0,0,0,0,0,0
706391069599727657,00:00:00,21,2,0,0,0,0,0,0
249108930586869770,00:00:00,22,1,0,0,0,0,0,0
